file	mag	subject	why_kept	source_path_under_Repositories
mid_mag/A01_nylonloop_pinleft_mid.jpg	mid	nylon loop + pin	mid-mag framing; loop+pin boxes in labels/00001.txt	home/jamesh/projects/loop_center_AI/annotation2/raw/images/00001.jpg
mid_mag/A02_nylonloop_pinright_mid.jpg	mid	nylon loop + pin	same mount, loop far from the pin — extreme off-centre framing	home/jamesh/projects/loop_center_AI/annotation2/raw/images/06000.jpg
mid_mag/A03_smallloop_a_mid.jpg	mid	small nylon loop	loop2 set: a visibly smaller loop than the annotation2 mount	home/jamesh/projects/loop_center_AI/loop2/raw/images/00001.jpg
mid_mag/A04_smallloop_b_mid.jpg	mid	small nylon loop	loop2 at a later phi step	home/jamesh/projects/loop_center_AI/loop2/raw/images/00019.jpg
mid_mag/A05_micromount_edge_mid.jpg	mid	MiTeGen micromount	kapton blade EDGE-ON — a tapered spike, not a loop	home/jamesh/projects/loop_center_AI/micromount1/raw/images/00001.jpg
mid_mag/A06_micromount_face_mid.jpg	mid	MiTeGen micromount	kapton blade FACE-ON — the rounded aperture	home/jamesh/projects/loop_center_AI/micromount1/raw/images/00010.jpg
hi_mag/B01_drop8_full_faceon_hi.jpg	hi	loop + clear solvent	THE target: loop fully filled with clear cryoprotectant, face-on	home/jamesh/projects/cryo_bubble/drop8/dose_001_faceon.jpg
hi_mag/B02_drop8_full_edgeon_hi.jpg	hi	loop + clear solvent	same drop EDGE-ON — the spherical-cap profile in section	home/jamesh/projects/cryo_bubble/drop8/dose_001_edgeon.jpg
hi_mag/B03_drop7_full_faceon_hi.jpg	hi	loop + clear solvent	a second filled loop, face-on	home/jamesh/projects/cryo_bubble/drop7/dose_001_faceon.jpg
hi_mag/B04_drop7_full_edgeon_hi.jpg	hi	loop + clear solvent	second loop edge-on	home/jamesh/projects/cryo_bubble/drop7/dose_001_edgeon.jpg
hi_mag/B05_drop8_dosed_faceon_hi.jpg	hi	loop + solvent, dosed	same drop after X-ray dose — contrast/texture change	home/jamesh/projects/cryo_bubble/drop8/dose_060_faceon.jpg
hi_mag/B06_drop38_bubble_faceon_hi.jpg	hi	loop + solvent + inclusion	large clear loop with a single dark inclusion/bubble — the crystal-in-solvent contrast case	home/jamesh/projects/cryo_bubble/drop38/dose_075_faceon.jpg
hi_mag/B07_drop8_drained_faceon_hi.jpg	hi	loop, thin film only	drop mostly gone — the FIBER itself and its twist are visible through a thin film. Best available look at bare loop geometry filled	home/jamesh/projects/cryo_bubble/drop8/nodose_160_faceon.jpg
hi_mag/B08_drop42_zoom_faceon.jpg	hi	drop, zoomed	drop filling the frame — a much tighter view than the rest	home/jamesh/projects/cryo_bubble/drop42/dose_001_faceon.jpg
hi_mag/B09_drop42_zoom_edgeon.jpg	hi	drop, zoomed	same, edge-on	home/jamesh/projects/cryo_bubble/drop42/dose_001_edgeon.jpg
hi_mag/B10_drop_265K_faceon.jpg	hi	liquid drop, warm	warmed to 265 K — a genuinely LIQUID drop, no vitrification texture	home/jamesh/projects/cryo_bubble/faceon_at_265K.jpg
hi_mag/B11_drop_devitrified_faceon.jpg	hi	devitrified drop	after 15 min at 90 K — ice texture. NOT MODELLED; keep as a reminder of what the simulator deliberately omits	home/jamesh/projects/cryo_bubble/faceon_after_15min_at_90K.jpg
mid_mag/C01_mitegen200_phi000_mid.jpg	mid	MiTeGen micromount 200 um	run3/README says "200um Mitegen Micromount"; phi=0 deg. Compare against --loop-type mitegen --model M2-L18SP-200	home/sfd/loop_centering_stuff/run3/raw/images/00001.jpg
mid_mag/C02_mitegen200_phi090_mid.jpg	mid	MiTeGen micromount 200 um	run3/README says "200um Mitegen Micromount"; phi=90 deg. Compare against --loop-type mitegen --model M2-L18SP-200	home/sfd/loop_centering_stuff/run3/raw/images/00010.jpg
mid_mag/C03_mitegen200_phi180_mid.jpg	mid	MiTeGen micromount 200 um	run3/README says "200um Mitegen Micromount"; phi=180 deg. Compare against --loop-type mitegen --model M2-L18SP-200	home/sfd/loop_centering_stuff/run3/raw/images/00019.jpg
mid_mag/C04_mitegen200_phi270_mid.jpg	mid	MiTeGen micromount 200 um	run3/README says "200um Mitegen Micromount"; phi=270 deg. Compare against --loop-type mitegen --model M2-L18SP-200	home/sfd/loop_centering_stuff/run3/raw/images/00028.jpg
mid_mag/C05_mitegen200_pose14_mid.jpg	mid	MiTeGen micromount 200 um	same mount, different sample position	home/sfd/loop_centering_stuff/run3/raw/images/00505.jpg
mid_mag/C06_smallloop_phi000_mid.jpg	mid	nylon loop 50-100 um	run4/README says "small standard loop - maybe 50-100um"; phi=0 deg. Compare against --loop-type hampton --loop-size 100	home/sfd/loop_centering_stuff/run4/raw/images/00001.jpg
mid_mag/C07_smallloop_phi090_mid.jpg	mid	nylon loop 50-100 um	run4/README says "small standard loop - maybe 50-100um"; phi=90 deg. Compare against --loop-type hampton --loop-size 100	home/sfd/loop_centering_stuff/run4/raw/images/00010.jpg
mid_mag/C08_smallloop_phi180_mid.jpg	mid	nylon loop 50-100 um	run4/README says "small standard loop - maybe 50-100um"; phi=180 deg. Compare against --loop-type hampton --loop-size 100	home/sfd/loop_centering_stuff/run4/raw/images/00019.jpg
